suburb,rooms,type,price,method,seller_g,date,distance,postcode,bedroom2,bathroom,car,landsize,building_area,year_built,council_area,latitude,longitude,region_name,property_count,yr_qtr
Abbotsford,2,h,NA,SS,Jellis,2016-09-03,2.5,3067,2,1,1,126,NA,NA,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019,2016.3
Abbotsford,2,h,1480000,S,Biggin,2016-12-03,2.5,3067,2,1,1,202,NA,NA,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019,2016.4
Abbotsford,2,h,1035000,S,Biggin,2016-02-04,2.5,3067,2,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019,2016.1
Abbotsford,3,u,NA,VB,Rounds,2016-02-04,2.5,3067,3,2,1,0,NA,NA,Yarra City Council,-37.8114,145.0116,Northern Metropolitan,4019,2016.1
Abbotsford,3,h,1465000,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019,2017.1
Abbotsford,3,h,850000,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94,NA,NA,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019,2017.1
Abbotsford,4,h,1600000,VB,Nelson,2016-06-04,2.5,3067,3,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019,2016.2
Abbotsford,4,h,NA,SN,Nelson,2016-08-06,2.5,3067,3,2,2,400,220,2006,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019,2016.3
Abbotsford,2,h,NA,S,Biggin,2016-08-06,2.5,3067,4,1,2,201,NA,1900,Yarra City Council,-37.7995,144.9974,Northern Metropolitan,4019,2016.3
Abbotsford,2,h,NA,S,Collins,2016-08-06,2.5,3067,3,2,1,202,NA,1900,Yarra City Council,-37.7996,144.9989,Northern Metropolitan,4019,2016.3
Abbotsford,2,h,941000,S,Jellis,2016-05-07,2.5,3067,2,1,0,181,NA,NA,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019,2016.2
Abbotsford,3,h,1876000,S,Nelson,2016-05-07,2.5,3067,4,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019,2016.2
